Username,Tweet
Maull,@tanyakanrl Yang penting maxim murah dah https://t.co/Q3sQkqPeVQ'
yanti,Senangnyaa naik maxim dapat harga murah
Mark Bahramov🎴,@baev_maxim @pobedeen @gaitykieva_d aplikasi maxim keren bat dah ramah dikantong
enca pgn jd anime,gua sekarang lagi didago atas sendirian trs hp gw ngedrop terus maxim gua lagi kaya kontol semoga gua selamat'
widya,maxim sudah bagus
vaini,@tanyakanrl Maxim teman baikku https://t.co/WMGwLtOILY'
Amirov Dion,@AXXXMVII Baik juga maxim'
youth,login maxim agak susah ya
Neyi,@maxmilth Wah senangnya. Sapa tau beneran jd CEOnya maxim kak!'
ryna,naik maxim motornya segala mogok lagi haduhh
txtdaribogor,gila ni abang maximnya narik karena gabut doang
opiii,kalau kata temenku naik maxim enak soalnya murah
mahendra,suka maxim tetapi waktu penjemputannya kadang agak lama
rekaa,Ya Allah lagi dikejar waktu ban motor maxim bocor
putra,"maxim harap ditingkatkan titik pencarian lokasinya ya, soalnya susah"
Ⓜ️,yang kaya gini kasian bapak maxim atau sejenis jasa antar jemput lainnya ga sih? bisa aja ngga salah https://t.co/aSo6BmFY5X'
chall,Anda mendapatkan bonus dari saya sebesar Rp0 untuk perjalanan dengan Maxim! Download aplikasi Maxim dan masukkan kode  https://t.co/ASPUiOMLrl'
鰤市 多有/怪人デザイン/禁酒中🍶/絵リクエスト受付中(有償),RT @taikikaneko1989: ULTRAMAN TITUS https://t.co/WPCi1KG7i6'
tebak,"7. harus naik maxim, tapi HARUS AMBIL CASHH dan saat itu aku gaada cash samsek https://t.co/vCM4bGtuNK'"
putrii,biaya maxim yang terlihat di aplikasi dengan yang sudah sampai lokasi tujuan berbeda
secang13,@maxim_cho Aku pengin kenalan'
NevaKunz 🐋,@firlyxx @DPR99_ Sepertinya anda tersesat. Order maxim aja  @gjadi_sendirian'
dilakuy,"make maxim pas promo doang hehe, soalnya harganya agak beda dari gojek atau grab"
daulay,"harga maxim murah ya, sukaaa"
risolmayo,murah meriah sekali kamu maxim
dwigantara,ban motor maxim bocor diwaktu yang salah
s,RT @Askrlfess: [askrl] guys yg pake maxim tuh ini maksudnya gimana ya? aku masukin kode promo gituuu
𝓡𝔂 💙🐘,@crocokrist mauu kalo ama maxim wkwkwk'
ken aja pokoknya,Buset di maxim ada yg ngebid tiga puluh dua rm anjg lo mo naek haji apa gmnee'
A Epriliana,@altairstr_ Pake maxim lebih murah dek..
pipapoo୧⍤⃝🧹,"Trip! Hai temanku, apa kabar?Hari ini aku melakukan perjalanan di dalam kota Solo! Pertama, pagi hari aku pergi dengan menggunakan maxim https://t.co/8ydl3UOyy5'"
meta,"harga maxim sangat terjangkau, lumayan berbeda dibanding app sebelah"
eizka,aneh ih abang maximnya
✠ 𝟐𝟎𝟕𝟕𝟏𝟗 ✠,@BAPAKKEIRA Maxim jak dim cobe order'
Diann,tadi ketemu abang maxim baik banget nolongin ibu ibu yang jatuh
anggun,@fazaahmd maxim aja.'
nasna,untuk sistemnya maxim masih kurang bagus
gizka,"pesan maxim udah bilang abangnya kalau nunggunya dibawah JPO, eh abangnya malah nunggu dimana"
erin wh0,ni marah marah aja driver maxim
🐹,"maxim kok belom se privasi grab ya, takut bgtt gua tiba tiba di chat abangnya ga lagi dahh'"
TigeRiz 🐯,"Babi punya maxim. Tak pasal driver tu dah sampai. Celaka punya app I'm fucking disappointed"""
shaned,"baru mau mesen maxim buat les tbtb hujan deres, untung orderannya masih diambil"
hera,titik lokasi maxim sangat susah sekaliii
qiaraaaaa,"haduh deg degan banget abang maximnya nyenggol angkot, untung angkotnya ngga marah marah"
Ratna Dg Bunga,maxim banyak promonyaa
Baby jo,ngga nyesel naik maxim pagi ini
Put CipoeT 🦖🍼💖💙,@srwithnj8  menyadari bulan ini Maxim dah kek tom Jerry isinya g bisa rukun
TigeRiz 🐯,"Paling babi maxim ni, tiba2 boleh log out masa aku tengah nak cancel ride. Ni langsung tak boleh masuk dalam accountnya"
Mbah Eno,"@TokopediaCare Tolong blokir toko bikavasa87. Karena sudah menipu saya,beli jaket+helm maxim, katanya ada kenaikan harga"
TigeRiz 🐯,"Grab, airasia, indriver dan maxim semua takde orang nak amik. Macam mana nak gi kerja, hujan lebat gila "
f i a,mau marahin tapi hati kecil sy tersentuh ketika melihat dia di kampus pake seragam maxim malem2 buat ngumpulin laprak'
TAKDIRMU,"Balik ke rumah pake Maxim, terus pas udah setengah jalan dia baru sadar udah jauh dan ujan terus nanya gini ini jalannya bener kesini mas? https://t.co/FaPncvzxXe'"
nau🤸,driver maxim tergajelas
Mikha,Aplikasi maxim kalau dari segi harga sangat terjangkau
Allium cepa.,@diethingy Maxim sih udah mantep.
aayyyyy🦋,"Barusan coba pake Maxim xixi, masnya wangi juga awkwkw. Oiya yg mau daftar pake Kodeku dong. makasiw  https://t.co/yRSB9LW17P'"
